derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,loan_amount,action_taken
1.0,0.0,0.5,0.5,0.5,0.008771929824561405,0.0
0.42644426444264444,0.3333333333333333,0.5,0.0,1.0,0.03333333333333333,0.0
0.36500365003650037,0.0,0.0,0.0,0.5,0.02263157894736842,0.0
0.4504129993806528,0.23021370475289582,1.0,1.0,0.0,0.0,1.0
0.42644426444264444,0.0,0.5,1.0,0.0,0.026140350877192978,1.0
0.4067640676406764,0.6666666666666666,0.0,0.0,0.5,0.03807017543859649,0.0
0.45104451044510446,0.0,0.5,1.0,1.0,0.02017543859649123,1.0
0.980319803198032,0.26666666666666666,0.0,1.0,0.0,0.04789473684210526,1.0
0.4623726237262373,0.0,1.0,0.0,0.5,0.005438596491228071,1.0
0.42644426444264444,0.0,1.0,1.0,0.5,0.1192982456140351,1.0
0.5094370943709436,0.3333333333333333,0.0,0.0,0.5,0.02070175438596491,1.0
0.4942049420494205,0.3333333333333333,1.0,1.0,1.0,0.017894736842105262,0.0
0.45104451044510446,0.3333333333333333,1.0,0.0,1.0,0.048245614035087724,1.0
0.0,0.0,0.0,0.5,0.5,0.016666666666666666,0.0
0.4406044060440604,0.0,0.5,0.5,0.5,0.021052631578947368,0.0
0.4406044060440604,0.8333333333333333,0.5,0.0,0.5,0.02368421052631579,1.0
0.42644426444264444,0.16666666666666666,0.5,0.5,1.0,0.013157894736842106,1.0
0.42644426444264444,0.0,0.0,0.0,1.0,0.01596491228070175,0.0
0.42644426444264444,0.0,1.0,1.0,0.5,0.029122807017543866,1.0
0.2842028420284203,0.0,0.5,1.0,1.0,0.02456140350877193,1.0
0.3119538421476368,1.5755654260648067,0.5,0.0,0.0,0.038061228283710086,1.0
0.42644426444264444,0.16666666666666666,0.0,0.0,0.0,0.0019298245614035084,0.0
0.4707247072470725,0.8333333333333333,1.0,0.0,1.0,0.023333333333333338,1.0
0.13380133801338012,0.0,0.0,0.5,0.0,0.02017543859649123,0.0
1.0,0.0,0.5,0.5,0.5,0.008771929824561405,1.0
0.2842028420284203,0.3333333333333333,0.0,0.5,0.5,0.021052631578947368,0.0
0.45104451044510446,0.0,0.0,1.0,0.0,0.03333333333333333,0.0
0.3102031020310203,0.0,1.0,0.0,0.0,0.018421052631578946,1.0
0.4642526425264253,0.13333333333333333,0.0,1.0,0.5,0.039122807017543865,0.0
0.14740147401474016,0.16666666666666666,0.0,0.5,0.5,0.004385964912280702,0.0
0.42644426444264444,0.0,0.5,1.0,0.5,0.06701754385964913,1.0
0.45104451044510446,0.16666666666666666,0.0,1.0,1.0,0.0019298245614035095,0.0
0.14740147401474016,0.0,0.5,0.5,0.0,0.021052631578947368,1.0
0.42644426444264444,0.0,0.0,0.5,1.0,0.01929824561403509,1.0
0.42644426444264444,0.0,1.0,0.0,0.5,0.049473684210526316,0.0
0.2842028420284203,0.0,0.5,0.5,0.5,0.03859649122807018,0.0
0.42644426444264444,0.0,1.0,0.0,0.5,0.04842105263157895,0.0
0.45104451044510446,0.0,1.0,0.5,0.5,0.01,1.0
0.42644426444264444,0.0,0.5,0.0,0.5,0.007017543859649124,0.0
0.2842028420284203,0.0,0.0,0.5,0.0,0.0035087719298245615,0.0
0.42644426444264444,0.16666666666666666,0.5,0.5,0.5,0.008771929824561405,0.0
0.42644426444264444,0.0,0.0,0.0,0.0,0.005438596491228071,0.0
0.4406044060440604,0.16666666666666666,1.0,0.5,0.5,0.0021052631578947364,0.0
0.42644426444264444,0.3333333333333333,0.5,1.0,1.0,0.0368421052631579,0.0
0.42644426444264444,0.0,1.0,0.0,1.0,0.0387719298245614,0.0
0.980319803198032,0.26666666666666666,0.0,1.0,0.0,0.04789473684210526,1.0
0.2842028420284203,0.16666666666666666,1.0,1.0,1.0,0.010526315789473686,1.0
0.4707247072470725,0.0,1.0,1.0,0.5,0.0412280701754386,0.0
0.980319803198032,0.26666666666666666,0.0,1.0,0.0,0.04789473684210526,1.0
0.3890038900389004,0.0,0.5,0.0,0.0,0.014912280701754387,0.0
0.34228342283422836,0.16666666666666666,0.0,1.0,0.5,0.010701754385964914,0.0
