-1,39,6,77516,1,13,3,9,4,1.1,2,2174,0,40,1.2,1.3
0,50,2,83311,1,13,1,5,3,1,2,0,0,13,1,1
1,38,1,215646,4,9,2,7,4,1,2,0,0,40,1,1
2,53,1,234721,3,7,1,7,3,5,2,0,0,40,1,1
3,28,1,338409,1,13,1,6,1,5,1,0,0,40,13,1
4,37,1,284582,11,14,1,5,1,1,1,0,0,40,1,1
5,49,1,160187,8,5,6,3,4,5,1,0,0,16,19,1
6,52,2,209642,4,9,1,5,3,1,2,0,0,45,1,2
7,31,1,45781,11,14,3,6,4,1,1,14084,0,50,1,2
8,42,1,159449,1,13,1,5,3,1,2,5178,0,40,1,2
9,37,1,280464,2,10,1,5,3,5,2,0,0,80,1,2
10,30,6,141297,1,13,1,6,3,2,2,0,0,40,8,2
11,23,1,122272,1,13,3,9,2,1,1,0,0,30,1,1
12,32,1,205019,6,12,3,4,4,5,2,0,0,50,1,1
13,40,1,121772,7,11,1,2,3,2,2,0,0,40,0,2
14,34,1,245487,9,4,1,11,3,3,2,0,0,45,21,1
15,25,2,176756,4,9,3,10,2,1,2,0,0,35,1,1
16,32,1,186824,4,9,3,8,6,1,2,0,0,40,1,1
17,38,1,28887,3,7,1,4,3,1,2,0,0,50,1,1
18,43,2,292175,11,14,2,5,6,1,1,0,0,45,1,2
19,40,1,193524,14,16,1,6,3,1,2,0,0,60,1,2
20,54,1,302146,4,9,4,3,6,5,1,0,0,20,1,1
21,35,4,76845,8,5,1,10,3,5,2,0,0,40,1,1
22,43,1,117037,3,7,1,11,3,1,2,0,2042,40,1,1
23,59,1,109015,4,9,2,1,6,1,1,0,0,40,1,1
24,56,5,216851,1,13,1,1,3,1,2,0,0,40,1,2
25,19,1,168294,4,9,3,2,2,1,2,0,0,40,1,1
26,54,0,180211,2,10,1,0,3,2,2,0,0,60,11,2
27,39,1,367260,4,9,2,5,4,1,2,0,0,80,1,1
28,49,1,193366,4,9,1,2,3,1,2,0,0,40,1,1
